run_id,converged,final_nll,elapsed_time,n2,N2,k_max,tau,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta_tau,n2_truth,N2_truth,k_max_truth,tau_truth,r21_truth,r23_truth,R21_truth,R23_truth,burst_size_truth,n_inner_truth,alpha_truth,beta_k_truth,beta_tau_truth
11,True,36981.85672489887,15922.225081920624,13.798874748537868,355.9964681065885,0.02867397001951714,233.61044732207677,2.0018085183472176,1.1887448901893716,1.473414631807451,1.5434274438326456,17.759118373347633,67.0612956112672,0.5364318974309722,0.2973214283494514,2.194131848961581,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
9,True,36981.85672489887,16706.55935359001,13.798874748537868,355.9964681065885,0.02867397001951714,233.61044732207677,2.0018085183472176,1.1887448901893716,1.473414631807451,1.5434274438326456,17.759118373347633,67.0612956112672,0.5364318974309722,0.2973214283494514,2.194131848961581,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
56,True,36955.810546298155,17075.603743314743,6.569557134008962,205.84187256877448,0.026374270651417623,206.0894089181444,0.852560711865378,1.203897521130433,1.0469735604885364,3.071331634983733,37.94346233934554,58.390967344042174,1.9899750389940076,0.34991005870923,2.7733010668703444,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
66,True,36971.0113770585,17516.7098031044,11.421770074322405,337.8539059526886,0.015278869833480278,221.6809995110429,4.065652651854484,2.712048005414828,1.7519528141623355,2.1758421317638863,9.650289506336287,41.560693054192996,1.863621578239972,0.38508795366342763,2.1342350678214044,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
45,True,36755.74865904499,18415.8915207386,15.722786210921246,433.4354339509691,0.008382057891664603,55.96953208849587,2.996372606442189,1.2213555461722079,1.7294554157493542,2.2667202198840175,25.75911082658757,51.49441057019683,1.090945647967043,0.5158403025251539,2.0978416956957076,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
35,True,36803.54664559018,18492.947725772858,12.870205320619494,480.2883068319561,0.011344624863807051,28.613462344373715,4.200511115990777,1.621299591925219,1.692853002990716,1.8364257186260575,19.84960143185144,12.41439145827443,0.7940365437041504,0.6322548382505392,2.270127188718205,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
22,True,36755.74865904499,18497.23299074173,15.722786210921246,433.4354339509691,0.008382057891664603,55.96953208849587,2.996372606442189,1.2213555461722079,1.7294554157493542,2.2667202198840175,25.75911082658757,51.49441057019683,1.090945647967043,0.5158403025251539,2.0978416956957076,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
24,True,36755.74865904499,19123.57594871521,15.722786210921246,433.4354339509691,0.008382057891664603,55.96953208849587,2.996372606442189,1.2213555461722079,1.7294554157493542,2.2667202198840175,25.75911082658757,51.49441057019683,1.090945647967043,0.5158403025251539,2.0978416956957076,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
36,True,36755.74865904499,19313.824007749557,15.722786210921246,433.4354339509691,0.008382057891664603,55.96953208849587,2.996372606442189,1.2213555461722079,1.7294554157493542,2.2667202198840175,25.75911082658757,51.49441057019683,1.090945647967043,0.5158403025251539,2.0978416956957076,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
54,True,36769.50605587709,19611.09356021881,4.391648636357889,209.28588285761043,0.010691310612090332,48.05101387267992,4.730674079875822,1.4358982833206555,1.7339602554213873,3.996823372751042,32.405809797010576,23.6494524482381,0.8531439271249168,0.7203448327807918,2.783444811083761,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
0,True,36882.37527711538,19721.617312192917,7.630842102732627,320.03049572674695,0.0340236703887753,220.74492430710114,4.104347086495093,2.2494624376759256,2.161529341993947,2.6747124764384993,27.593605771796977,27.331070428034888,1.4023280253032793,0.20331195097889976,2.189313918908704,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
77,True,36755.74865904499,20020.688841342926,15.722786210921246,433.4354339509691,0.008382057891664603,55.96953208849587,2.996372606442189,1.2213555461722079,1.7294554157493542,2.2667202198840175,25.75911082658757,51.49441057019683,1.090945647967043,0.5158403025251539,2.0978416956957076,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
52,True,36755.74865904499,20139.840546369553,15.722786210921246,433.4354339509691,0.008382057891664603,55.96953208849587,2.996372606442189,1.2213555461722079,1.7294554157493542,2.2667202198840175,25.75911082658757,51.49441057019683,1.090945647967043,0.5158403025251539,2.0978416956957076,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
60,True,36828.09166810539,20288.621850013733,14.06105077433342,394.8627606212248,0.024775578824134944,194.74686937414754,4.309091492377718,0.6077534345742444,2.1813240515599945,3.06053883393504,37.63197599197129,34.43536580766098,0.7910704242414108,0.32672236753866746,2.285626458369463,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
62,True,36789.868197249045,20309.318815231323,3.183698603173198,290.09676973961587,0.0515144152931095,239.76082026548917,1.075660116559084,2.0172505329678954,1.8668256564238292,3.7277645415332703,45.32163101852603,10.048099201902467,1.5212101400226474,0.3141389701659941,2.3019799646682215,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
8,True,36755.74865904499,20454.0906188488,15.722786210921246,433.4354339509691,0.008382057891664603,55.96953208849587,2.996372606442189,1.2213555461722079,1.7294554157493542,2.2667202198840175,25.75911082658757,51.49441057019683,1.090945647967043,0.5158403025251539,2.0978416956957076,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
76,True,36952.80943717014,20633.600360393524,2.3297620253919575,382.04507206624424,0.04502534188018088,213.39593401081504,4.2699356339525245,4.437514033574571,2.0350427999775453,4.48310287409849,45.68657228770373,19.306362632342836,0.9072079011156561,0.23451127467521127,2.2932027718002614,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
74,True,36952.80943717014,21390.6029317379,2.3297620253919575,382.04507206624424,0.04502534188018088,213.39593401081504,4.2699356339525245,4.437514033574571,2.0350427999775453,4.48310287409849,45.68657228770373,19.306362632342836,0.9072079011156561,0.23451127467521127,2.2932027718002614,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
79,True,36783.920224675545,21458.681435346603,4.53629766248414,52.06616259202284,0.004568305198937083,32.54028377517299,3.3070514905267556,1.5202879116654322,2.2226922564633007,3.090778298971216,36.36284293211151,53.10837566474648,1.2974320001265056,0.6348867813775793,2.6968585183336775,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
43,True,36952.80943717014,21459.967947006226,2.3297620253919575,382.04507206624424,0.04502534188018088,213.39593401081504,4.2699356339525245,4.437514033574571,2.0350427999775453,4.48310287409849,45.68657228770373,19.306362632342836,0.9072079011156561,0.23451127467521127,2.2932027718002614,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
33,True,36802.65247631159,21680.435400247574,4.735250280513926,187.12190139952548,0.006273989720660567,55.6053128294686,3.9426119951015695,3.0664739533845293,1.1988446749765471,2.3226822643284684,24.020135339166043,49.019031859749084,1.2663811472117297,0.5889552598881465,2.5681968097515186,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
