strain,delta_t12,delta_t32
wildtype,17.151896647805813,-2.7338661093420242
wildtype,16.56586508257037,-1.9697975515102044
wildtype,14.354165337721795,2.204519540830937
wildtype,36.52651118784365,18.692346178472697
wildtype,44.5004722930075,17.28232841806502
wildtype,36.76440254457342,24.493956744181517
wildtype,33.514245110144785,9.415501305224158
wildtype,22.885951436995658,8.06548329977495
wildtype,28.42041718397347,3.612080436122106
wildtype,41.21774874799962,8.339501635838182
wildtype,39.09683723007182,14.780266653230328
wildtype,22.98105046601964,-6.350092103233649
wildtype,15.91739934753545,0.725316513133464
wildtype,21.14784364446513,12.156443653385953
wildtype,31.51717161246263,10.176172495904698
wildtype,19.406196455606633,-7.008670891597767
wildtype,27.127338764556917,8.827677533379735
wildtype,11.950851505386069,12.897337270100529
wildtype,18.955051740575186,7.904804375029627
wildtype,30.64385890458324,-8.521678525181834
wildtype,30.060354076277672,7.9779220862206195
wildtype,24.98067918272252,1.9533848272592493
wildtype,35.56783778119019,7.315366321069678
wildtype,8.480046846031826,-5.592277502432424
wildtype,26.279843061816536,13.99949365064193
wildtype,28.078802961157024,6.389803697592889
wildtype,27.89874789125617,11.794031438510665
wildtype,27.120400147491594,-3.5372654722667107
wildtype,-1.1417693223190923,-12.060687924201844
wildtype,31.750132535830765,2.5512691379011585
wildtype,22.57173363008323,-4.30186512731629
wildtype,22.202645068435586,-7.947236732487816
wildtype,21.910086298640994,11.140749376665429
wildtype,31.859757340165594,18.576170653093598
wildtype,19.898185553056372,4.650811557845536
wildtype,16.397539673759738,-37.14596672754462
wildtype,31.55335902592198,15.198252186404705
wildtype,1.1816567596677956,-22.66412750390889
wildtype,23.67229503769441,6.787890085721955
wildtype,26.71373653440457,1.7432958088938655
wildtype,24.814366156114495,-5.510935450041913
wildtype,17.477314036402397,17.555322572693058
wildtype,31.442675284255117,14.258350670458825
wildtype,24.727863587533584,-9.342758086129937
wildtype,28.261048890895033,11.108688191685687
wildtype,34.49783057217964,16.868646848829673
wildtype,24.1956172352262,-13.449647455528009
wildtype,13.957503511744648,-16.143057332578582
wildtype,18.073888887344047,4.3494193742325535
wildtype,24.1106953077525,12.227004154206718
wildtype,34.21785835800799,1.701448507811655
wildtype,44.008589445409754,30.950880581071534
wildtype,34.732250320568305,6.665258889350461
wildtype,21.76501153408303,-0.9456144374331501
wildtype,21.145114972610255,13.380733174393963
wildtype,32.46649371147073,2.2811877571467747
wildtype,20.272874548509506,-11.602329385270426
wildtype,20.371106420016773,0.24119184777327263
wildtype,24.16164956291433,7.712576308290185
wildtype,45.897795659586805,-2.5912298396117563
wildtype,33.42727355834646,-7.073117903799478
wildtype,18.14029392615911,5.995771047260348
wildtype,30.988205579468296,12.486313423035686
wildtype,21.293572447796542,-0.3591723080407121
wildtype,44.695578528361864,20.520815333435173
wildtype,13.426287608383,2.518012883055512
wildtype,13.276032976587913,-18.40264149630622
wildtype,31.75997092482895,13.27157408053759
wildtype,16.319519948835588,6.710033453922019
wildtype,24.337037301339592,5.880597536466084
wildtype,33.673592231254396,17.165065668224365
wildtype,30.69070090564034,3.8201939221162284
wildtype,19.74944455289132,5.565416846123334
wildtype,15.466794368245587,-8.463504539686873
wildtype,42.19068910465417,7.045026157137055
wildtype,28.07946836809683,2.0873455926284343
wildtype,34.3062045222629,-16.288839789172275
wildtype,23.772470895995994,-1.0500011467927948
wildtype,19.113522350989975,0.4924336716229476
wildtype,22.729173326588942,13.088239501751097
wildtype,28.823910981793873,6.795056312594319
wildtype,16.828006205264046,2.9270586178824374
wildtype,37.697250048249145,17.072865808223675
wildtype,30.329024171559706,2.6022255590490992
wildtype,34.51429179885059,6.634714994350176
wildtype,28.379238934850925,8.042820075388143
wildtype,10.604068647974088,-2.775144572037135
wildtype,45.4116626607462,23.280323248065717
wildtype,-11.332111658176466,1.719658580054542
wildtype,38.84175345423639,17.232633094597322
wildtype,25.070807990996364,0.881343544980183
