Parameter Stability Statistics (10 runs)
Mechanism: feedback_onion, tol: 0.01
--------------------------------------------------
Parameter       Mean       Std        CV(%)     
--------------------------------------------------
n2              5.9000     7.6223     129.19    
N2              671.3000   212.2064   31.61     
k               0.0428     0.0151     35.15     
r21             0.9966     0.4604     46.20     
r23             2.4630     0.7662     31.11     
R21             0.7625     0.3267     42.85     
R23             3.2443     1.0246     31.58     
n_inner         2105.5000  785.5658   37.31     
alpha           0.3840     0.1774     46.20     
beta_k          0.4530     0.0151     3.34      
beta2_k         0.4850     0.0142     2.94      
beta3_k         0.2318     0.0114     4.92      
n1              5.5379     5.7024     102.97    
n3              15.9337    21.1719    132.88    
N1              480.6084   151.7008   31.56     
N3              2148.4046  858.2151   39.95     
nll             7003.3274  12.0177    0.17      
