Mechanism,Parameter,N,Mean,Median,Std,Min,Max,CV (%)
feedback_onion,n2,10,3.8410,3.5033,1.3281,2.1908,6.2113,34.5756
feedback_onion,N2,10,471.2107,436.7834,217.2334,143.4075,882.8215,46.1011
feedback_onion,k,10,0.0401,0.0370,0.0079,0.0300,0.0553,19.7303
feedback_onion,r21,10,1.1992,1.0527,0.5193,0.5020,1.9160,43.3043
feedback_onion,r23,10,2.7219,2.6795,0.3221,2.2279,3.1659,11.8340
feedback_onion,R21,10,0.9882,0.9176,0.3823,0.4727,1.5081,38.6824
feedback_onion,R23,10,4.0217,4.0783,0.5545,3.1893,4.8065,13.7878
feedback_onion,n_inner,10,2375.2352,2192.7142,846.4119,1316.2350,3726.7485,35.6349
feedback_onion,alpha,10,0.4655,0.5149,0.1543,0.1091,0.6137,33.1564
feedback_onion,beta_k,10,0.4623,0.4598,0.0236,0.4398,0.5179,5.1155
feedback_onion,beta2_k,10,0.4868,0.4884,0.0126,0.4713,0.5094,2.5957
feedback_onion,beta3_k,10,0.2360,0.2360,0.0085,0.2218,0.2489,3.5889
fixed_burst,n2,10,3.7681,3.7459,1.6523,1.0049,7.0132,43.8486
fixed_burst,N2,10,508.9626,613.3218,254.1693,121.2866,790.1778,49.9387
fixed_burst,k,10,0.0145,0.0140,0.0029,0.0110,0.0213,20.2762
fixed_burst,r21,10,0.7382,0.7086,0.3033,0.3731,1.4120,41.0936
fixed_burst,r23,10,2.3448,2.4354,0.5834,1.2300,3.1030,24.8796
fixed_burst,R21,10,0.6403,0.5882,0.1628,0.4295,0.8739,25.4180
fixed_burst,R23,10,4.1630,4.1928,0.4609,3.4661,4.9669,11.0723
fixed_burst,burst_size,10,5.4182,5.3935,1.2020,3.4665,7.2185,22.1852
fixed_burst,alpha,10,0.4525,0.4597,0.1618,0.1959,0.6714,35.7637
fixed_burst,beta_k,10,0.4558,0.4608,0.0371,0.3891,0.5127,8.1365
fixed_burst,beta2_k,10,0.5009,0.4922,0.0321,0.4516,0.5686,6.4006
fixed_burst,beta3_k,10,0.2443,0.2425,0.0282,0.2084,0.2981,11.5524
fixed_burst_feedback_onion,n2,10,8.0489,6.5810,5.3883,2.6627,18.1806,66.9440
fixed_burst_feedback_onion,N2,10,569.2139,604.5606,205.5220,286.6872,969.2520,36.1063
fixed_burst_feedback_onion,k,10,0.0196,0.0197,0.0064,0.0107,0.0287,32.6055
fixed_burst_feedback_onion,r21,10,0.9695,0.9701,0.3396,0.5108,1.6900,35.0270
fixed_burst_feedback_onion,r23,10,2.3552,2.3795,0.8135,0.9818,3.4514,34.5397
fixed_burst_feedback_onion,R21,10,0.7335,0.7435,0.2197,0.4765,1.2420,29.9454
fixed_burst_feedback_onion,R23,10,3.4093,3.3055,0.6211,2.4893,4.4374,18.2164
fixed_burst_feedback_onion,burst_size,10,2.8924,2.4066,1.2556,2.0012,6.1296,43.4096
fixed_burst_feedback_onion,n_inner,10,2244.3815,2403.5102,1024.2257,353.0881,3510.5436,45.6351
fixed_burst_feedback_onion,alpha,10,0.4130,0.4130,0.1197,0.1983,0.6183,28.9772
fixed_burst_feedback_onion,beta_k,10,0.4419,0.4485,0.0455,0.3775,0.5062,10.2968
fixed_burst_feedback_onion,beta2_k,10,0.4817,0.4691,0.0868,0.3975,0.7000,18.0257
fixed_burst_feedback_onion,beta3_k,10,0.2345,0.2391,0.0199,0.2019,0.2596,8.4883
simple,n2,10,2.8603,2.5659,1.4836,1.6280,6.7092,51.8683
simple,N2,10,498.4654,503.3955,286.0576,100.6570,896.3931,57.3876
simple,k,10,0.0437,0.0440,0.0082,0.0265,0.0549,18.8873
simple,r21,10,1.3369,1.2502,0.7311,0.2885,2.5251,54.6890
simple,r23,10,2.9722,2.9700,0.4435,2.0032,3.6029,14.9216
simple,R21,10,1.0369,0.8470,0.4657,0.5031,1.9510,44.9098
simple,R23,10,3.9358,3.9209,0.5884,3.1497,4.6955,14.9498
simple,alpha,10,0.4337,0.4529,0.1561,0.1549,0.6424,36.0048
simple,beta_k,10,0.4572,0.4564,0.0170,0.4340,0.4935,3.7192
simple,beta2_k,10,0.4813,0.4798,0.0111,0.4648,0.5007,2.3150
simple,beta3_k,10,0.2300,0.2324,0.0117,0.1997,0.2412,5.0954
