run_id,converged,final_nll,elapsed_time,n2,N2,k_max,tau,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta_tau,n2_truth,N2_truth,k_max_truth,tau_truth,r21_truth,r23_truth,R21_truth,R23_truth,burst_size_truth,n_inner_truth,alpha_truth,beta_k_truth,beta_tau_truth
26,True,37058.50281199241,12025.18404507637,8.201406940573088,433.73563227874297,0.010798889217101149,149.95180237664812,3.739387244525271,3.392659381175237,2.035957136259623,2.6296756490307667,34.23400850947718,69.71624087914088,1.1746343561193933,0.31101863183658895,2.744230529238245,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
15,True,36875.51531568363,12462.912291765213,3.726870404326914,258.080904541527,0.017187054953701715,172.15866527282307,4.974466006242489,0.16553668753834705,1.2051279071464032,2.282118880320247,47.09752680768364,50.1895595142587,0.1853469033505425,0.5561319787558745,2.015535996034265,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
36,True,36875.51531568363,12492.167419195175,3.726870404326914,258.080904541527,0.017187054953701715,172.15866527282307,4.974466006242489,0.16553668753834705,1.2051279071464032,2.282118880320247,47.09752680768364,50.1895595142587,0.1853469033505425,0.5561319787558745,2.015535996034265,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
28,True,36875.51531568363,12654.976947784424,3.726870404326914,258.080904541527,0.017187054953701715,172.15866527282307,4.974466006242489,0.16553668753834705,1.2051279071464032,2.282118880320247,47.09752680768364,50.1895595142587,0.1853469033505425,0.5561319787558745,2.015535996034265,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
55,True,36875.51531568363,12841.823595762253,3.726870404326914,258.080904541527,0.017187054953701715,172.15866527282307,4.974466006242489,0.16553668753834705,1.2051279071464032,2.282118880320247,47.09752680768364,50.1895595142587,0.1853469033505425,0.5561319787558745,2.015535996034265,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
7,True,36851.8168644758,12853.355350732803,4.510677375007223,447.2108196356396,0.02232899439229385,127.13408470395447,4.880264811676634,1.2735826596757835,1.1661662645570243,2.525031120817467,35.13132368099741,8.864419416013504,1.0098767344733455,0.29579568985416693,2.4034924290263464,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
16,True,36848.60130683359,13131.270405054092,11.065882676366105,165.98855441658213,0.02399895818073284,237.46105422452672,0.9523085831797315,0.4524410401365033,1.3828773210067995,3.3342379874305315,46.94046644241278,55.646123236563504,1.0570135660007036,0.31156425133314214,2.135049353928275,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
22,True,36851.8168644758,13225.388674020767,4.510677375007223,447.2108196356396,0.02232899439229385,127.13408470395447,4.880264811676634,1.2735826596757835,1.1661662645570243,2.525031120817467,35.13132368099741,8.864419416013504,1.0098767344733455,0.29579568985416693,2.4034924290263464,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
8,True,36851.8168644758,13334.069118261337,4.510677375007223,447.2108196356396,0.02232899439229385,127.13408470395447,4.880264811676634,1.2735826596757835,1.1661662645570243,2.525031120817467,35.13132368099741,8.864419416013504,1.0098767344733455,0.29579568985416693,2.4034924290263464,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
9,True,37000.24764336277,13622.979677677155,7.986118696353741,115.48118276028188,0.019525723414048207,135.05923900601388,3.346365989696129,0.635074827360314,1.9036253690396752,3.2618522367292475,21.134521432586475,63.75626984202557,0.9387967852251395,0.5352052194597288,2.5283015363981876,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
24,True,36963.2712343508,13856.84547829628,9.425116226212154,339.1053783773481,0.013549296269621933,239.29950269367825,1.1453160605452473,4.14827724346728,1.1562092668930042,2.4967159340233316,44.0296124416596,42.934514690149285,0.7341452992471309,0.4265850229686909,2.0622613421432456,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
6,True,36992.08173975736,13975.645301818848,3.274249603927484,119.46262065799303,0.02368106013269834,129.03040986089144,3.3912806359788163,2.2930126403812983,1.9991511146897711,4.381992861701564,36.16179108898957,64.66603600218653,1.5111983169363818,0.3390456502399126,2.7314954357336014,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
2,True,37047.53876429627,14594.023364305496,2.815667185138201,296.13228380570206,0.02553029161529428,229.42505930327115,3.1058511885226014,3.7267335968040145,1.682061906527681,2.4241155657058147,46.82059641878695,39.48551677093211,1.0473427405009597,0.6602331036933049,2.0727681858300393,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
31,True,36765.20064090195,15017.811522483826,12.25864340562497,230.0807703608053,0.004895656200848884,33.052650342978964,3.2206027761795886,0.7736990254009029,1.691490278346001,2.051673873646428,39.6950979624094,26.065118814426775,1.2130492264889436,0.7088173921577249,2.477926737936164,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
59,True,36974.93512116087,15262.459868192673,2.1712563390700126,466.28184880525134,0.02395648447127486,189.06663105992578,4.647386325161498,2.0977948696863766,1.7815871907487353,2.7833081893248144,37.61512429997683,47.85259205874634,0.7109436163498885,0.5214312673259162,2.7055787753023184,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
19,True,36863.574339598774,15377.762734651566,5.958959245018969,162.61307719793555,0.039340467953774785,166.97078793282992,3.098886081724569,2.524002811200013,1.6498773947874437,3.642348758763774,30.10614057999141,8.66778725014344,0.544967709766753,0.475676521615395,2.1712811313494536,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
50,True,36910.8244826508,15493.830980539322,6.2956290012348415,277.78241686412304,0.020292585733438628,220.1938289475027,1.583047224298225,0.1792228495381174,0.8141298605812131,2.0480638653237935,49.50811760519488,37.97847038661736,0.7341969993209062,0.5959006916822764,2.131490498947709,5.1,169,0.013139,47.3,2.415,1.458,1.293,2.475,14.3,20.5,0.654,0.72,2.9
